OID_,NOMBPROV,NOMBDEP,NOMBDIST,CAPITAL,area,perimeter,area_IL,peri_IL,area_PA,peri_PA,area_MC,peri_MC,area_CC,peri_CC,area_LC,peri_LC,slope_avg,seas_avg,river_avg,river_sum,road_nat,road_dep,road_dis,elevation_,prec_avg,carbon_avg,C_0_2k,C_1_2k,ratio_2k,area_2k,C_0_2k1,C_1_2k1,ratio_2k1,area_2k1,C_0_2k2,C_1_2k2,ratio_2k2,area_2k2,C_0_2k5,C_1_2k5,ratio_2k5,area_2k5,C_0_2k6,C_1_2k6,ratio_2k6,area_2k6,C_0_2k7,C_1_2k7,ratio_2k7,area_2k7,C_0_2k8,C_1_2k8,ratio_2k8,area_2k8,C_0_2k10,C_1_2k10,ratio_2k10,area_2k10,C_0_2k12,C_1_2k12,ratio_2k12,area_2k12,C_0_2k13,C_1_2k13,ratio_2k13,area_2k13,C_0_2k14,C_1_2k14,ratio_2k14,area_2k14,C_0_2k15,C_1_2k15,ratio_2k15,area_2k15,C_0_2k16,C_1_2k16,ratio_2k16,area_2k16,C_0_2k17,C_1_2k17,ratio_2k17,area_2k17,C_0_2k18,C_1_2k18,ratio_2k18,area_2k18,C_0_2k20,C_1_2k20,ratio_2k20,area_2k20,C_0_2k21,C_1_2k21,ratio_2k21,area_2k21,popdens_2k,popdens_20,dif_2k_20,dset_10_7,dset_1k_7,dset_5k_7,dset10k_7,dset_10_17,dset_1k_17,dset_5k_17,dset10k_17,ddset_1k,ddset_10,ddset_5k,ddset_10k,nofor_avg,POBLA_2003,POBLA_2007,POBLA_2010,POBLA_2011,POBLA_2012,POBLA_2015,POBLA_2017,POBLA_2018,POBLA_2019,POBLA_2020,POBLA_2021,POBLA_2022,diff_pop,IDH_2003,IDH_2007,IDH_2010,IDH_2011,IDH_2012,IDH_2015,IDH_2017,IDH_2018,IDH_2019,POBRE_2008,POBRE_2010,POBRE_2014,POBRE_2019,EMP07_1,EMP07_2,EMP07_3,EMP07_4,EMP07_5,EMP07_6,EMP07_7,EMP07_8,EMP07_9,EMP07_10,EMP17_1,EMP17_2,EMP17_3,EMP17_4,EMP17_5,EMP17_6,EMP17_7,EMP17_8,EMP17_9,EMP17_10
0,PUERTO INCA,HUANUCO,CODO DEL POZUZO,CODO DEL POZUZO,3192349952.0000000,304902.0000000,462510016.0000000,281400.0000000,0.0000000,0.0000000,0.0000000,0.0000000,5310000.0000000,12000.0000000,192240000.0000000,180000.0000000,28.629037019799998,44.645957946800003,0.000048496181989,1.736260307580000,10094.665992399999595,40289.047324500003015,9126.160078749999229,857.273742675999983,2254.050048829999923,64.202723294600005,564376.000000000000000,3010690.000000000000000,0.842135501834000,270.962100000000021,576919.000000000000000,2998147.000000000000000,0.838627035137000,269.833230000000015,598258.000000000000000,2976808.000000000000000,0.832658194282000,267.912719999999979,693934.000000000000000,2881132.000000000000000,0.805896170868000,259.301879999999983,709288.000000000000000,2865778.000000000000000,0.801601424981000,257.920020000000022,733761.000000000000000,2841305.000000000000000,0.794755956953000,255.717450000000014,768821.000000000000000,2806245.000000000000000,0.784949144995000,252.562049999999999,849404.000000000000000,2725662.000000000000000,0.762408861822000,245.309580000000011,918843.000000000000000,2656223.000000000000000,0.742985723900000,239.060069999999996,965172.000000000000000,2609894.000000000000000,0.730026802302000,234.890459999999990,1025242.000000000000000,2549824.000000000000000,0.713224315299000,229.484160000000003,1072194.000000000000000,2502872.000000000000000,0.700091131185000,225.258479999999992,1105537.000000000000000,2469529.000000000000000,0.690764590080000,222.257610000000000,1137489.000000000000000,2437577.000000000000000,0.681827132702000,219.381930000000011,1172965.000000000000000,2402101.000000000000000,0.671903959256000,216.189089999999993,1245797.000000000000000,2329269.000000000000000,0.651531747945000,209.634209999999996,1274826.000000000000000,2300240.000000000000000,0.643411897850000,207.021600000000007,6445.1201172,6353.8198242,-91.300292968799994,8187.099705550000181,38997.614205999998376,61061.372869300001184,61862.672111699997913,4165.491521660000217,19638.795646899998246,51045.682084499996563,61061.372869300001184,-19358.818559100000130,-4021.608183889999964,-10015.690784799999165,-801.299242400000026,492.136413574000017,7466,6067,6509,6534,6556,6603,7101,7862,8065,8248,8400,8532,1066,0.152600000000000,0.208600000000000,0.244700000000000,0.255600000000000,0.268800000000000,0.303300000000000,0.324100000000000,0.340515249000000,0.354047299000000,46.591000000000001,69.900000000000006,39.750000000000000,27.199999999999999,2.000000000000000,80.000000000000000,20.000000000000000,14.000000000000000,101.000000000000000,872.000000000000000,37.000000000000000,44.000000000000000,700.000000000000000,46.000000000000000,4.000000000000000,152.000000000000000,77.000000000000000,36.000000000000000,200.000000000000000,1446.000000000000000,119.000000000000000,86.000000000000000,714.000000000000000,3
1,HUAMALIES,HUANUCO,ARANCAY,ARANCAY,120922000.0000000,49177.6992188,900000.0000000,6600.0000000,0.0000000,0.0000000,0.0000000,0.0000000,27630000.0000000,47400.0000000,255600000.0000000,223200.0000000,53.817601775000000,57.675563812299998,0.000029043991162,0.037641012546400,1270.903076170000077,16884.434814500000357,4339.134521480000330,3314.133056640000177,842.336486816000047,11.617602928000000,1823.000000000000000,24902.000000000000000,0.931786716558000,2.241180000000000,1858.000000000000000,24867.000000000000000,0.930477081384000,2.238030000000000,1865.000000000000000,24860.000000000000000,0.930215154350000,2.237400000000000,1924.000000000000000,24801.000000000000000,0.928007483630000,2.232090000000000,1956.000000000000000,24769.000000000000000,0.926810102900000,2.229210000000000,1979.000000000000000,24746.000000000000000,0.925949485500000,2.227140000000000,1995.000000000000000,24730.000000000000000,0.925350795136000,2.225700000000000,2119.000000000000000,24606.000000000000000,0.920710944808000,2.214540000000000,2169.000000000000000,24556.000000000000000,0.918840037418000,2.210040000000000,2176.000000000000000,24549.000000000000000,0.918578110384000,2.209410000000000,2191.000000000000000,24534.000000000000000,0.918016838167000,2.208060000000000,2191.000000000000000,24534.000000000000000,0.918016838167000,2.208060000000000,2300.000000000000000,24425.000000000000000,0.913938260056000,2.198250000000000,2338.000000000000000,24387.000000000000000,0.912516370440000,2.194830000000000,2342.000000000000000,24383.000000000000000,0.912366697848000,2.194470000000000,2349.000000000000000,24376.000000000000000,0.912104770814000,2.193840000000000,2352.000000000000000,24373.000000000000000,0.911992516370000,2.193570000000000,2158.2199707,1281.2199707,-877.000000000000000,3358.063671880000129,26227.492578099998354,71288.317187499997090,71288.317187499997090,1967.108203129999993,26227.492578099998354,48582.258593699996709,71288.317187499997090,0.000000000000000,-1390.955468749999909,-22706.058593800000381,0.000000000000000,256.219055175999983,2420,1767,1746,1699,1652,1513,1356,1381,1351,1316,1278,1237,-1183,0.134600000000000,0.153100000000000,0.184600000000000,0.189400000000000,0.203600000000000,0.269200000000000,0.313100000000000,0.331582942000000,0.325458643000000,73.929000000000002,70.700000000000003,58.950000000000003,44.600000000000001,4.000000000000000,44.000000000000000,3.000000000000000,9.000000000000000,24.000000000000000,126.000000000000000,14.000000000000000,13.000000000000000,158.000000000000000,15.000000000000000,6.000000000000000,45.000000000000000,9.000000000000000,9.000000000000000,19.000000000000000,231.000000000000000,14.000000000000000,6.000000000000000,78.000000000000000,-
2,JAEN,CAJAMARCA,SAN JOSE DEL ALTO,SAN JOSE DEL ALTO,532057984.0000000,118026.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,40590000.0000000,30600.0000000,400500000.0000000,276600.0000000,49.851670741699998,35.283866882300003,0.000023758275347,0.133664057103000,7282.346191409999847,41786.309081999999762,1016.722460940000019,1777.885986329999923,956.489257812000005,27.109319537600001,294766.000000000000000,265679.000000000000000,0.474050085200000,23.911110000000001,296189.000000000000000,264256.000000000000000,0.471511031413000,23.783040000000000,297737.000000000000000,262708.000000000000000,0.468748940574000,23.643719999999998,299873.000000000000000,260572.000000000000000,0.464937683448000,23.451480000000000,301071.000000000000000,259374.000000000000000,0.462800096352000,23.343660000000000,302808.000000000000000,257637.000000000000000,0.459700773492000,23.187329999999999,303496.000000000000000,256949.000000000000000,0.458473177564000,23.125409999999999,305410.000000000000000,255035.000000000000000,0.455058034241000,22.953150000000001,307374.000000000000000,253071.000000000000000,0.451553676097000,22.776389999999999,307943.000000000000000,252502.000000000000000,0.450538411441000,22.725180000000002,308629.000000000000000,251816.000000000000000,0.449314384105000,22.663440000000001,309802.000000000000000,250643.000000000000000,0.447221404420000,22.557870000000001,311170.000000000000000,249275.000000000000000,0.444780486934000,22.434750000000001,313127.000000000000000,247318.000000000000000,0.441288618865000,22.258620000000001,315086.000000000000000,245359.000000000000000,0.437793182203000,22.082310000000000,318753.000000000000000,241692.000000000000000,0.431250167278000,21.752279999999999,319529.000000000000000,240916.000000000000000,0.429865553266000,21.682440000000000,8115.6098633,7516.4902344,-599.119628906000003,2458.885253909999847,10728.356045799999265,32533.713245700000698,32692.646306800001184,1341.210138489999963,14626.041370700000698,32533.713245700000698,32692.646306800001184,3897.685324900000069,-1117.675115420000111,0.000000000000000,0.000000000000000,83.939659118700007,7496,6936,7350,7326,7298,7192,6960,7847,7959,8050,8114,8151,655,0.222500000000000,0.206300000000000,0.257600000000000,0.258800000000000,0.263300000000000,0.294100000000000,0.317600000000000,0.325543308000000,0.322602343000000,64.254000000000005,66.599999999999994,50.420000000000002,48.600000000000001,1.000000000000000,82.000000000000000,12.000000000000000,12.000000000000000,118.000000000000000,1232.000000000000000,36.000000000000000,49.000000000000000,960.000000000000000,43.000000000000000,2.000000000000000,75.000000000000000,14.000000000000000,54.000000000000000,148.000000000000000,1738.000000000000000,48.000000000000000,45.000000000000000,451.000000000000000,-
3,CHACHAPOYAS,AMAZONAS,HUANCAS,HUANCAS,48368900.0000000,29506.5996094,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,17010000.0000000,40200.0000000,29250000.0000000,48600.0000000,55.254899712099999,38.900157928500001,0.000019633607735,0.010091674375900,0.000000000000000,5083.612304690000201,0.000000000000000,2202.362548829999923,834.405700683999953,1.244633463470000,51386.000000000000000,17.000000000000000,0.000330719996887,0.001530000000000,51386.000000000000000,17.000000000000000,0.000330719996887,0.001530000000000,51386.000000000000000,17.000000000000000,0.000330719996887,0.001530000000000,51386.000000000000000,17.000000000000000,0.000330719996887,0.001530000000000,51386.000000000000000,17.000000000000000,0.000330719996887,0.001530000000000,51386.000000000000000,17.000000000000000,0.000330719996887,0.001530000000000,51386.000000000000000,17.000000000000000,0.000330719996887,0.001530000000000,51386.000000000000000,17.000000000000000,0.000330719996887,0.001530000000000,51386.000000000000000,17.000000000000000,0.000330719996887,0.001530000000000,51386.000000000000000,17.000000000000000,0.000330719996887,0.001530000000000,51386.000000000000000,17.000000000000000,0.000330719996887,0.001530000000000,51386.000000000000000,17.000000000000000,0.000330719996887,0.001530000000000,51386.000000000000000,17.000000000000000,0.000330719996887,0.001530000000000,51388.000000000000000,15.000000000000000,0.000291811761959,0.001350000000000,51389.000000000000000,14.000000000000000,0.000272357644495,0.001260000000000,51389.000000000000000,14.000000000000000,0.000272357644495,0.001260000000000,51389.000000000000000,14.000000000000000,0.000272357644495,0.001260000000000,2585.0000000,1855.4000244,-729.599975586000028,4917.770507809999799,4917.770507809999799,7376.655761719999646,7376.655761719999646,2458.885253909999847,4917.770507809999799,7376.655761719999646,7376.655761719999646,0.000000000000000,-2458.885253899999952,0.000000000000000,0.000000000000000,0.009921792894600,583,809,1010,1063,1119,1305,1258,1334,1395,1456,1481,1500,917,0.225500000000000,0.246100000000000,0.293100000000000,0.290200000000000,0.294700000000000,0.365300000000000,0.417400000000000,0.435454377000000,0.414755647000000,49.951999999999998,42.399999999999999,49.299999999999997,32.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,2.000000000000000,10.000000000000000,48.000000000000000,7.000000000000000,20.000000000000000,42.000000000000000,0.000000000000000,3.000000000000000,4.000000000000000,0.000000000000000,6.000000000000000,45.000000000000000,87.000000000000000,114.000000000000000,9.000000000000000,60.000000000000000,-
4,CARABAYA,PUNO,COASA,COASA,3095610112.0000000,393422.0000000,113940000.0000000,112800.0000000,1703340032.0000000,263400.0000000,8460000.0000000,27000.0000000,0.0000000,0.0000000,641880000.0000000,356400.0000000,42.494766401500002,52.755981445300002,0.000035592791392,1.241903677230000,44807.808940299997630,14050.327211399999214,11780.359540400000697,1747.891601560000026,3012.574707029999900,57.454636798199999,140159.000000000000000,2533723.000000000000000,0.947582204450000,228.035069999999990,140710.000000000000000,2533172.000000000000000,0.947376137017000,227.985479999999995,140893.000000000000000,2532989.000000000000000,0.947307697198000,227.969009999999997,142534.000000000000000,2531348.000000000000000,0.946693982756000,227.821319999999986,142760.000000000000000,2531122.000000000000000,0.946609461450000,227.800980000000010,143016.000000000000000,2530866.000000000000000,0.946513720501000,227.777940000000001,143610.000000000000000,2530272.000000000000000,0.946291571580000,227.724480000000000,145582.000000000000000,2528300.000000000000000,0.945554067083000,227.546999999999997,146172.000000000000000,2527710.000000000000000,0.945333414115000,227.493899999999996,146743.000000000000000,2527139.000000000000000,0.945119866920000,227.442509999999999,147361.000000000000000,2526521.000000000000000,0.944888742286000,227.386889999999994,147812.000000000000000,2526070.000000000000000,0.944720073661000,227.346300000000014,148676.000000000000000,2525206.000000000000000,0.944396947958000,227.268540000000002,150870.000000000000000,2523012.000000000000000,0.943576418107000,227.071079999999995,151734.000000000000000,2522148.000000000000000,0.943253292404000,226.993320000000011,151960.000000000000000,2521922.000000000000000,0.943168771098000,226.972980000000007,152005.000000000000000,2521877.000000000000000,0.943151941634000,226.968930000000000,9780.1396484,19410.4003906,9630.260742189999291,24200.487007100000483,38973.329864500003168,46301.400741600002220,108890.532898000004934,15100.302696200000355,33803.189186099996732,60626.932022100001632,79201.173049899996840,-5170.140678400000070,-9100.184310900000128,14325.531280499999411,-29689.359848100000818,780.389160156000003,8852,12097,13731,14158,14586,15879,6433,6690,6310,5932,5573,5224,-3628,0.220600000000000,0.195600000000000,0.225100000000000,0.226700000000000,0.235400000000000,0.244600000000000,0.254300000000000,0.256804161000000,0.280905619000000,90.819999999999993,73.400000000000006,60.310000000000002,65.599999999999994,1.000000000000000,164.000000000000000,52.000000000000000,14.000000000000000,167.000000000000000,1072.000000000000000,263.000000000000000,72.000000000000000,923.000000000000000,34.000000000000000,3.000000000000000,48.000000000000000,5.000000000000000,17.000000000000000,121.000000000000000,1214.000000000000000,57.000000000000000,40.000000000000000,327.000000000000000,-
5,CHANCHAMAYO,JUNIN,VITOC,PUCARA,386951008.0000000,127862.0000000,2340000.0000000,7800.0000000,33660000.0000000,70800.0000000,32310000.0000000,40800.0000000,0.0000000,0.0000000,265770000.0000000,136800.0000000,51.688396054599998,52.657119751000003,0.000033640120819,0.146839127374000,18813.980208299999504,10035.824869800000670,8502.564192710000498,2643.963867190000201,1233.253417970000100,28.065562936100001,49515.000000000000000,250561.000000000000000,0.834991802077000,22.550490000000000,49809.000000000000000,250267.000000000000000,0.834012050281000,22.524030000000000,50245.000000000000000,249831.000000000000000,0.832559085032000,22.484790000000000,51810.000000000000000,248266.000000000000000,0.827343739586000,22.343940000000000,52010.000000000000000,248066.000000000000000,0.826677241765000,22.325939999999999,53038.000000000000000,247038.000000000000000,0.823251442968000,22.233419999999999,53279.000000000000000,246797.000000000000000,0.822448313094000,22.211729999999999,54502.000000000000000,245574.000000000000000,0.818372678921000,22.101659999999999,55670.000000000000000,244406.000000000000000,0.814480331649000,21.996540000000000,56370.000000000000000,243706.000000000000000,0.812147589277000,21.933540000000001,57015.000000000000000,243061.000000000000000,0.809998133806000,21.875489999999999,57479.000000000000000,242597.000000000000000,0.808451858862000,21.833729999999999,57988.000000000000000,242088.000000000000000,0.806755621909000,21.787920000000000,58500.000000000000000,241576.000000000000000,0.805049387489000,21.741840000000000,58831.000000000000000,241245.000000000000000,0.803946333595000,21.712050000000001,60512.000000000000000,239564.000000000000000,0.798344419414000,21.560759999999998,61010.000000000000000,239066.000000000000000,0.796684839841000,21.515940000000001,6858.8300781,4546.3901367,-2312.439941409999847,9641.582336429999486,21494.116271999999299,21494.116271999999299,21494.116271999999299,7399.696777340000153,21494.116271999999299,21494.116271999999299,21494.116271999999299,0.000000000000000,-2241.885559089999788,0.000000000000000,0.000000000000000,241.410766601999995,5419,2753,2481,2347,2218,1866,1814,1832,1774,1715,1659,1605,-3814,0.345600000000000,0.317100000000000,0.462300000000000,0.495300000000000,0.503800000000000,0.505600000000000,0.495300000000000,0.507794731000000,0.550828423000000,33.270000000000003,11.500000000000000,31.870000000000001,13.800000000000001,1.000000000000000,78.000000000000000,68.000000000000000,28.000000000000000,89.000000000000000,270.000000000000000,240.000000000000000,133.000000000000000,386.000000000000000,22.000000000000000,1.000000000000000,67.000000000000000,30.000000000000000,22.000000000000000,84.000000000000000,382.000000000000000,48.000000000000000,138.000000000000000,150.000000000000000,-
6,TAMBOPATA,MADRE DE DIOS,TAMBOPATA,PUERTO MALDONADO,20822800384.0000000,1613030.0000000,796140032.0000000,584400.0000000,8709300224.0000000,1140000.0000000,108000000.0000000,236400.0000000,0.0000000,0.0000000,228240000.0000000,214800.0000000,10.943739003099999,49.082241058299999,0.000042594838305,9.861855128329999,58241.006954500000575,45925.755192600001465,70153.571591600004467,346.347259521000012,2427.978027340000153,100.654733437000004,977081.000000000000000,22176895.000000000000000,0.957800725025000,1995.920550000000048,988787.000000000000000,22165189.000000000000000,0.957295153109000,1994.867009999999937,998081.000000000000000,22155895.000000000000000,0.956893753367000,1994.030549999999948,1036397.000000000000000,22117579.000000000000000,0.955238918793000,1990.582110000000057,1044687.000000000000000,22109289.000000000000000,0.954880880934000,1989.836009999999987,1054253.000000000000000,22099723.000000000000000,0.954467733749000,1988.975069999999960,1071645.000000000000000,22082331.000000000000000,0.953716588460000,1987.409789999999930,1098670.000000000000000,22055306.000000000000000,0.952549402314000,1984.977540000000090,1125353.000000000000000,22028623.000000000000000,0.951396986850000,1982.576070000000072,1137562.000000000000000,22016414.000000000000000,0.950869690804000,1981.477259999999887,1150097.000000000000000,22003879.000000000000000,0.950328315102000,1980.349110000000110,1163422.000000000000000,21990554.000000000000000,0.949752819991000,1979.149859999999990,1184416.000000000000000,21969560.000000000000000,0.948846107468000,1977.260399999999890,1195154.000000000000000,21958822.000000000000000,0.948382342627000,1976.293979999999920,1211957.000000000000000,21942019.000000000000000,0.947656635733000,1974.781709999999975,1239168.000000000000000,21914808.000000000000000,0.946481416410000,1972.332720000000108,1251443.000000000000000,21902533.000000000000000,0.945951269881000,1971.227969999999914,49660.1015625,91938.8984375,42278.796875000000000,51141.071356000000378,85154.478346599993529,128791.357000000003609,129096.679445000001579,31353.608775000000605,83562.482217700002366,112194.268846000006306,128805.159247000003234,-1591.996128900000031,-19787.462580999999773,-16597.088154000000941,-291.520197999999993,2516.298095699999976,46804,60214,67398,69565,71754,78378,81925,92732,96463,100011,103413,106751,59947,0.392900000000000,0.454600000000000,0.543900000000000,0.570500000000000,0.593300000000000,0.586800000000000,0.569600000000000,0.584364926000000,0.633163974000000,16.143999999999998,11.400000000000000,2.880000000000000,4.800000000000000,75.000000000000000,2343.000000000000000,1773.000000000000000,1548.000000000000000,4812.000000000000000,1730.000000000000000,2848.000000000000000,3910.000000000000000,5314.000000000000000,1331.000000000000000,121.000000000000000,3967.000000000000000,2591.000000000000000,3014.000000000000000,9512.000000000000000,2671.000000000000000,4921.000000000000000,3838.000000000000000,7024.000000000000000,590
7,MOYOBAMBA,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,2660290048.0000000,383586.0000000,1287000064.0000000,480600.0000000,475200000.0000000,162000.0000000,4230000.0000000,15000.0000000,0.0000000,0.0000000,478260000.0000000,150600.0000000,21.691923729700001,20.476392745999998,0.000041155373765,1.234085037710000,16974.363755800000945,19999.581164200000785,7466.410603459999948,1126.985961910000015,1489.971191410000074,52.667551482999997,468242.000000000000000,2529956.000000000000000,0.843825524532000,227.696040000000011,480616.000000000000000,2517582.000000000000000,0.839698378826000,226.582380000000001,500197.000000000000000,2498001.000000000000000,0.833167455919000,224.820089999999993,561828.000000000000000,2436370.000000000000000,0.812611441939000,219.273300000000006,577927.000000000000000,2420271.000000000000000,0.807241883291000,217.824389999999994,629795.000000000000000,2368403.000000000000000,0.789942158590000,213.156270000000006,649033.000000000000000,2349165.000000000000000,0.783525637733000,211.424849999999992,759565.000000000000000,2238633.000000000000000,0.746659493469000,201.476969999999994,848794.000000000000000,2149404.000000000000000,0.716898617103000,193.446359999999999,878159.000000000000000,2120039.000000000000000,0.707104400710000,190.803509999999989,899785.000000000000000,2098413.000000000000000,0.699891401435000,188.857169999999996,916330.000000000000000,2081868.000000000000000,0.694373086767000,187.368120000000005,928361.000000000000000,2069837.000000000000000,0.690360343113000,186.285329999999988,937966.000000000000000,2060232.000000000000000,0.687156752156000,185.420880000000011,950625.000000000000000,2047573.000000000000000,0.682934549353000,184.281569999999988,969550.000000000000000,2028648.000000000000000,0.676622424536000,182.578319999999991,979107.000000000000000,2019091.000000000000000,0.673434843196000,181.718189999999993,24379.0996094,38237.5000000,13858.400390599999810,5903.058416189999662,13062.965625000000728,21800.053373599999759,29942.047372199998790,3424.778977269999814,13359.155317799999466,21257.954367900001671,29934.376855499998783,296.189692799999989,-2478.279438919999848,-542.099005700000021,-7.670516700000000,856.879699706999986,56447,65048,72611,74753,76915,83475,76325,81678,83623,85365,86774,88059,31612,0.293600000000000,0.315300000000000,0.408500000000000,0.414800000000000,0.425300000000000,0.478700000000000,0.515800000000000,0.535916109000000,0.529480047000000,51.201999999999998,39.000000000000000,26.199999999999999,16.300000000000001,60.000000000000000,2444.000000000000000,972.000000000000000,1197.000000000000000,3156.000000000000000,6102.000000000000000,1222.000000000000000,2276.000000000000000,5960.000000000000000,708.000000000000000,131.000000000000000,3845.000000000000000,1912.000000000000000,2072.000000000000000,5568.000000000000000,7428.000000000000000,3167.000000000000000,2034.000000000000000,5901.000000000000000,340
8,CARABAYA,PUNO,OLLACHEA,OLLACHEA,725534016.0000000,147533.0000000,102690000.0000000,154200.0000000,0.0000000,0.0000000,90000.0000000,1200.0000000,0.0000000,0.0000000,51480000.0000000,46200.0000000,56.443247072799998,71.829483032200002,0.000036755707697,0.291068449253000,7383.769418570000198,15336.514535800000886,4004.069824220000100,3962.506347659999847,867.021423339999956,4.352292937980000,44438.000000000000000,78917.000000000000000,0.639755178144000,7.102530000000000,44442.000000000000000,78913.000000000000000,0.639722751409000,7.102170000000000,44487.000000000000000,78868.000000000000000,0.639357950630000,7.098120000000000,44684.000000000000000,78671.000000000000000,0.637760933890000,7.080390000000000,44769.000000000000000,78586.000000000000000,0.637071865753000,7.072740000000000,44787.000000000000000,78568.000000000000000,0.636925945442000,7.071120000000000,44802.000000000000000,78553.000000000000000,0.636804345183000,7.069770000000000,44913.000000000000000,78442.000000000000000,0.635904503263000,7.059780000000000,44962.000000000000000,78393.000000000000000,0.635507275749000,7.055370000000000,44988.000000000000000,78367.000000000000000,0.635296501966000,7.053030000000000,45026.000000000000000,78329.000000000000000,0.634988447975000,7.049610000000000,45310.000000000000000,78045.000000000000000,0.632686149730000,7.024050000000000,45481.000000000000000,77874.000000000000000,0.631299906773000,7.008660000000000,46399.000000000000000,76956.000000000000000,0.623857970897000,6.926040000000000,46431.000000000000000,76924.000000000000000,0.623598557010000,6.923160000000000,46448.000000000000000,76907.000000000000000,0.623460743383000,6.921630000000000,46448.000000000000000,76907.000000000000000,0.623460743383000,6.921630000000000,4558.0498047,6067.7202148,1509.670410160000074,4873.169824220000010,14530.004296900000554,37811.206445299998450,92909.207812499997090,2690.711165359999995,14530.004296900000554,37811.206445299998450,37811.206445299998450,0.000000000000000,-2182.458658860000014,0.000000000000000,-55098.001367199998640,167.040313720999990,3960,4919,5300,5361,5417,5566,6090,6299,6432,6544,6679,6798,2838,0.186600000000000,0.153300000000000,0.181100000000000,0.180400000000000,0.188900000000000,0.269200000000000,0.340600000000000,0.355036051000000,0.324909651000000,87.524000000000001,91.900000000000006,67.540000000000006,44.600000000000001,4.000000000000000,78.000000000000000,22.000000000000000,16.000000000000000,77.000000000000000,877.000000000000000,55.000000000000000,58.000000000000000,1226.000000000000000,38.000000000000000,0.000000000000000,75.000000000000000,30.000000000000000,25.000000000000000,199.000000000000000,1177.000000000000000,102.000000000000000,95.000000000000000,614.000000000000000,-
9,OXAPAMPA,PASCO,CHONTABAMBA,CHONTABAMBA,459504992.0000000,108191.0000000,8100000.0000000,19200.0000000,0.0000000,0.0000000,35730000.0000000,52200.0000000,0.0000000,0.0000000,704880000.0000000,544200.0000000,46.459530775700003,54.987812042199998,0.000042286301323,0.205638283333000,9149.801757810000709,1716.177631580000025,1716.177631580000025,2350.411376949999976,1112.410888670000077,29.312804718399999,106936.000000000000000,340692.000000000000000,0.761105203428000,30.662279999999999,107383.000000000000000,340245.000000000000000,0.760106606379000,30.622050000000002,107974.000000000000000,339654.000000000000000,0.758786313635000,30.568860000000001,109839.000000000000000,337789.000000000000000,0.754619907602000,30.401009999999999,110711.000000000000000,336917.000000000000000,0.752671861456000,30.322530000000000,111135.000000000000000,336493.000000000000000,0.751724646358000,30.284369999999999,111559.000000000000000,336069.000000000000000,0.750777431260000,30.246210000000001,112831.000000000000000,334797.000000000000000,0.747935785965000,30.131730000000001,114440.000000000000000,333188.000000000000000,0.744341283387000,29.986920000000001,115117.000000000000000,332511.000000000000000,0.742828866827000,29.925989999999999,116522.000000000000000,331106.000000000000000,0.739690099815000,29.799540000000000,117461.000000000000000,330167.000000000000000,0.737592375812000,29.715029999999999,118557.000000000000000,329071.000000000000000,0.735143914143000,29.616389999999999,121437.000000000000000,326191.000000000000000,0.728710000268000,29.357189999999999,121939.000000000000000,325689.000000000000000,0.727588533336000,29.312010000000001,125018.000000000000000,322610.000000000000000,0.720710053884000,29.034900000000000,126143.000000000000000,321485.000000000000000,0.718196806277000,28.933650000000000,37818.5000000,35671.1015625,-2147.398437500000000,7205.101511099999698,13661.395507799999905,13798.022563700000319,29093.704666900001030,3168.762952300000052,10314.865851200000179,13798.022563700000319,13798.022563700000319,-3346.529656600000180,-4036.338558800000101,0.000000000000000,-15295.682103200000711,234.431777954000012,3205,3189,3348,3381,3413,3504,5334,5803,6110,6412,6615,6773,3568,0.269000000000000,0.307100000000000,0.396500000000000,0.406700000000000,0.408000000000000,0.445600000000000,0.461100000000000,0.478356878000000,0.503855869000000,40.555999999999997,23.600000000000001,39.299999999999997,21.300000000000001,4.000000000000000,73.000000000000000,35.000000000000000,30.000000000000000,165.000000000000000,383.000000000000000,59.000000000000000,110.000000000000000,467.000000000000000,11.000000000000000,3.000000000000000,162.000000000000000,89.000000000000000,114.000000000000000,332.000000000000000,566.000000000000000,217.000000000000000,145.000000000000000,665.000000000000000,2
